remark: cnn.cpp:919:20: Loop 'VITIS_LOOP_919_7' is marked as complete unroll implied by the pipeline pragma
remark: cnn.cpp:922:29: Loop 'VITIS_LOOP_922_8' is marked as complete unroll implied by the pipeline pragma
remark: cnn.cpp:926:31: Loop 'VITIS_LOOP_926_9' is marked as complete unroll implied by the pipeline pragma
remark: cnn.cpp:927:34: Loop 'VITIS_LOOP_927_10' is marked as complete unroll implied by the pipeline pragma
remark: cnn.cpp:948:32: Loop 'VITIS_LOOP_948_11' is marked as complete unroll implied by the pipeline pragma
remark: cnn.cpp:950:21: Loop 'VITIS_LOOP_950_12' is marked as complete unroll implied by the pipeline pragma
remark: cnn.cpp:955:32: Loop 'VITIS_LOOP_955_13' is marked as complete unroll implied by the pipeline pragma
remark: cnn.cpp:960:34: Loop 'VITIS_LOOP_960_14' is marked as complete unroll implied by the pipeline pragma
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_911_6' (cnn.cpp:911:27) in function 'cnn' partially with a factor of 2
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_919_7' (cnn.cpp:919:20) in function 'cnn' completely with a factor of 2
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_922_8' (cnn.cpp:922:29) in function 'cnn' completely with a factor of 16
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_926_9' (cnn.cpp:926:31) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_926_9' (cnn.cpp:926:31) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_926_9' (cnn.cpp:926:31) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_926_9' (cnn.cpp:926:31) in function 'cnn' completely with a factor of 5
remark: cnn.cpp:866:0: Unrolling loop 'VITIS_LOOP_927_10' (cnn.cpp:927:34) in function 'cnn' completely with a factor of 5
